circuit,backend,N,stage,time_ms,throughput_wits_per_sec
AES-256-encrypt,cpu_circom,1,compile,0.000000,
AES-256-encrypt,cpu_circom,1,jit,0.000000,
AES-256-encrypt,cpu_circom,1,kernel,0.000000,
AES-256-encrypt,cpu_circom,1,d2h,0.000000,
AES-256-encrypt,cpu_circom,1,total,42.079744,23.764
AES-256-encrypt,cpu_circom,64,compile,0.000000,
AES-256-encrypt,cpu_circom,64,jit,0.000000,
AES-256-encrypt,cpu_circom,64,kernel,0.000000,
AES-256-encrypt,cpu_circom,64,d2h,0.000000,
AES-256-encrypt,cpu_circom,64,total,308.442368,207.494
AES-256-encrypt,cpu_circom,1024,compile,0.000000,
AES-256-encrypt,cpu_circom,1024,jit,0.000000,
AES-256-encrypt,cpu_circom,1024,kernel,0.000000,
AES-256-encrypt,cpu_circom,1024,d2h,0.000000,
AES-256-encrypt,cpu_circom,1024,total,4340.661504,235.909
AES-256-encrypt,cpu_circom,4096,compile,0.000000,
AES-256-encrypt,cpu_circom,4096,jit,0.000000,
AES-256-encrypt,cpu_circom,4096,kernel,0.000000,
AES-256-encrypt,cpu_circom,4096,d2h,0.000000,
AES-256-encrypt,cpu_circom,4096,total,17330.017280,236.353
