circuit,backend,N,stage,time_ms,throughput_wits_per_sec
AES-256-encrypt,gpu_zkx,1,compile,63.215347,
AES-256-encrypt,gpu_zkx,1,jit,2256.251849,
AES-256-encrypt,gpu_zkx,1,kernel,742.426086,
AES-256-encrypt,gpu_zkx,1,d2h,0.000000,
AES-256-encrypt,gpu_zkx,1,total,742.885861,1.346
AES-256-encrypt,gpu_zkx,64,compile,85.823950,
AES-256-encrypt,gpu_zkx,64,jit,2998.261916,
AES-256-encrypt,gpu_zkx,64,kernel,751.284118,
AES-256-encrypt,gpu_zkx,64,d2h,0.000000,
AES-256-encrypt,gpu_zkx,64,total,755.056408,84.762
AES-256-encrypt,gpu_zkx,1024,compile,219.250081,
AES-256-encrypt,gpu_zkx,1024,jit,4090.528571,
AES-256-encrypt,gpu_zkx,1024,kernel,767.135315,
AES-256-encrypt,gpu_zkx,1024,d2h,0.000000,
AES-256-encrypt,gpu_zkx,1024,total,920.778104,1112.103
AES-256-encrypt,gpu_zkx,4096,compile,86.654716,
AES-256-encrypt,gpu_zkx,4096,jit,3214.454308,
AES-256-encrypt,gpu_zkx,4096,kernel,800.256897,
AES-256-encrypt,gpu_zkx,4096,d2h,0.000000,
AES-256-encrypt,gpu_zkx,4096,total,1307.534836,3132.613
