circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_chi,cpu_circom,1,compile,0.000000,
keccak_chi,cpu_circom,1,jit,0.000000,
keccak_chi,cpu_circom,1,kernel,0.000000,
keccak_chi,cpu_circom,1,d2h,0.000000,
keccak_chi,cpu_circom,1,total,40.230144,24.857
keccak_chi,cpu_circom,64,compile,0.000000,
keccak_chi,cpu_circom,64,jit,0.000000,
keccak_chi,cpu_circom,64,kernel,0.000000,
keccak_chi,cpu_circom,64,d2h,0.000000,
keccak_chi,cpu_circom,64,total,176.485888,362.635
keccak_chi,cpu_circom,1024,compile,0.000000,
keccak_chi,cpu_circom,1024,jit,0.000000,
keccak_chi,cpu_circom,1024,kernel,0.000000,
keccak_chi,cpu_circom,1024,d2h,0.000000,
keccak_chi,cpu_circom,1024,total,2325.446656,440.346
keccak_chi,cpu_circom,4096,compile,0.000000,
keccak_chi,cpu_circom,4096,jit,0.000000,
keccak_chi,cpu_circom,4096,kernel,0.000000,
keccak_chi,cpu_circom,4096,d2h,0.000000,
keccak_chi,cpu_circom,4096,total,9050.852608,452.554
keccak_chi,cpu_circom,65536,compile,0.000000,
keccak_chi,cpu_circom,65536,jit,0.000000,
keccak_chi,cpu_circom,65536,kernel,0.000000,
keccak_chi,cpu_circom,65536,d2h,0.000000,
keccak_chi,cpu_circom,65536,total,141364.300544,463.597
