circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_chi,gpu_zkx,1,compile,5.067590,
keccak_chi,gpu_zkx,1,jit,47.306772,
keccak_chi,gpu_zkx,1,kernel,4.043295,
keccak_chi,gpu_zkx,1,d2h,0.000000,
keccak_chi,gpu_zkx,1,total,4.254934,235.021
keccak_chi,gpu_zkx,64,compile,5.823629,
keccak_chi,gpu_zkx,64,jit,51.021397,
keccak_chi,gpu_zkx,64,kernel,4.044352,
keccak_chi,gpu_zkx,64,d2h,0.000000,
keccak_chi,gpu_zkx,64,total,4.734076,13519.006
keccak_chi,gpu_zkx,1024,compile,5.784784,
keccak_chi,gpu_zkx,1024,jit,59.212928,
keccak_chi,gpu_zkx,1024,kernel,4.167679,
keccak_chi,gpu_zkx,1024,d2h,0.000000,
keccak_chi,gpu_zkx,1024,total,24.211998,42293.081
keccak_chi,gpu_zkx,4096,compile,5.958665,
keccak_chi,gpu_zkx,4096,jit,68.123078,
keccak_chi,gpu_zkx,4096,kernel,4.633535,
keccak_chi,gpu_zkx,4096,d2h,0.000000,
keccak_chi,gpu_zkx,4096,total,91.012247,45004.932
