circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_iota10,gpu_zkx,1,compile,5.575080,
keccak_iota10,gpu_zkx,1,jit,68.951203,
keccak_iota10,gpu_zkx,1,kernel,0.847936,
keccak_iota10,gpu_zkx,1,d2h,0.000000,
keccak_iota10,gpu_zkx,1,total,1.011674,988.461
keccak_iota10,gpu_zkx,64,compile,8.176937,
keccak_iota10,gpu_zkx,64,jit,92.340730,
keccak_iota10,gpu_zkx,64,kernel,0.951296,
keccak_iota10,gpu_zkx,64,d2h,0.000000,
keccak_iota10,gpu_zkx,64,total,2.380717,26882.658
keccak_iota10,gpu_zkx,1024,compile,8.457992,
keccak_iota10,gpu_zkx,1024,jit,108.670244,
keccak_iota10,gpu_zkx,1024,kernel,1.055360,
keccak_iota10,gpu_zkx,1024,d2h,0.000000,
keccak_iota10,gpu_zkx,1024,total,31.851209,32149.486
keccak_iota10,gpu_zkx,4096,compile,7.267236,
keccak_iota10,gpu_zkx,4096,jit,145.645044,
keccak_iota10,gpu_zkx,4096,kernel,1.555680,
keccak_iota10,gpu_zkx,4096,d2h,0.000000,
keccak_iota10,gpu_zkx,4096,total,119.152978,34375.977
