circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_iota3,cpu_circom,1,compile,0.000000,
keccak_iota3,cpu_circom,1,jit,0.000000,
keccak_iota3,cpu_circom,1,kernel,0.000000,
keccak_iota3,cpu_circom,1,d2h,0.000000,
keccak_iota3,cpu_circom,1,total,39.738880,25.164
keccak_iota3,cpu_circom,64,compile,0.000000,
keccak_iota3,cpu_circom,64,jit,0.000000,
keccak_iota3,cpu_circom,64,kernel,0.000000,
keccak_iota3,cpu_circom,64,d2h,0.000000,
keccak_iota3,cpu_circom,64,total,115.773952,552.801
keccak_iota3,cpu_circom,1024,compile,0.000000,
keccak_iota3,cpu_circom,1024,jit,0.000000,
keccak_iota3,cpu_circom,1024,kernel,0.000000,
keccak_iota3,cpu_circom,1024,d2h,0.000000,
keccak_iota3,cpu_circom,1024,total,1277.886720,801.323
keccak_iota3,cpu_circom,4096,compile,0.000000,
keccak_iota3,cpu_circom,4096,jit,0.000000,
keccak_iota3,cpu_circom,4096,kernel,0.000000,
keccak_iota3,cpu_circom,4096,d2h,0.000000,
keccak_iota3,cpu_circom,4096,total,5031.300864,814.104
