circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_pad,cpu_circom,1,compile,0.000000,
keccak_pad,cpu_circom,1,jit,0.000000,
keccak_pad,cpu_circom,1,kernel,0.000000,
keccak_pad,cpu_circom,1,d2h,0.000000,
keccak_pad,cpu_circom,1,total,37.559552,26.624
keccak_pad,cpu_circom,64,compile,0.000000,
keccak_pad,cpu_circom,64,jit,0.000000,
keccak_pad,cpu_circom,64,kernel,0.000000,
keccak_pad,cpu_circom,64,d2h,0.000000,
keccak_pad,cpu_circom,64,total,86.262016,741.926
keccak_pad,cpu_circom,1024,compile,0.000000,
keccak_pad,cpu_circom,1024,jit,0.000000,
keccak_pad,cpu_circom,1024,kernel,0.000000,
keccak_pad,cpu_circom,1024,d2h,0.000000,
keccak_pad,cpu_circom,1024,total,825.642752,1240.246
keccak_pad,cpu_circom,4096,compile,0.000000,
keccak_pad,cpu_circom,4096,jit,0.000000,
keccak_pad,cpu_circom,4096,kernel,0.000000,
keccak_pad,cpu_circom,4096,d2h,0.000000,
keccak_pad,cpu_circom,4096,total,3183.309824,1286.711
