circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_pad,gpu_zkx,1,compile,2.989638,
keccak_pad,gpu_zkx,1,jit,77.917550,
keccak_pad,gpu_zkx,1,kernel,6.768096,
keccak_pad,gpu_zkx,1,d2h,0.000000,
keccak_pad,gpu_zkx,1,total,7.001878,142.819
keccak_pad,gpu_zkx,64,compile,3.114324,
keccak_pad,gpu_zkx,64,jit,75.104939,
keccak_pad,gpu_zkx,64,kernel,6.744576,
keccak_pad,gpu_zkx,64,d2h,0.000000,
keccak_pad,gpu_zkx,64,total,7.341473,8717.597
keccak_pad,gpu_zkx,1024,compile,3.023943,
keccak_pad,gpu_zkx,1024,jit,55.374506,
keccak_pad,gpu_zkx,1024,kernel,7.047584,
keccak_pad,gpu_zkx,1024,d2h,0.000000,
keccak_pad,gpu_zkx,1024,total,27.928180,36665.476
keccak_pad,gpu_zkx,4096,compile,3.066414,
keccak_pad,gpu_zkx,4096,jit,54.672402,
keccak_pad,gpu_zkx,4096,kernel,7.814367,
keccak_pad,gpu_zkx,4096,d2h,0.000000,
keccak_pad,gpu_zkx,4096,total,88.573065,46244.307
keccak_pad,gpu_zkx,65536,compile,2.960509,
keccak_pad,gpu_zkx,65536,jit,200.494627,
keccak_pad,gpu_zkx,65536,kernel,26.428320,
keccak_pad,gpu_zkx,65536,d2h,0.000000,
keccak_pad,gpu_zkx,65536,total,1603.703795,40865.402
