circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_rhopi,cpu_circom,1,compile,0.000000,
keccak_rhopi,cpu_circom,1,jit,0.000000,
keccak_rhopi,cpu_circom,1,kernel,0.000000,
keccak_rhopi,cpu_circom,1,d2h,0.000000,
keccak_rhopi,cpu_circom,1,total,40.444160,24.725
keccak_rhopi,cpu_circom,64,compile,0.000000,
keccak_rhopi,cpu_circom,64,jit,0.000000,
keccak_rhopi,cpu_circom,64,kernel,0.000000,
keccak_rhopi,cpu_circom,64,d2h,0.000000,
keccak_rhopi,cpu_circom,64,total,143.248384,446.776
keccak_rhopi,cpu_circom,1024,compile,0.000000,
keccak_rhopi,cpu_circom,1024,jit,0.000000,
keccak_rhopi,cpu_circom,1024,kernel,0.000000,
keccak_rhopi,cpu_circom,1024,d2h,0.000000,
keccak_rhopi,cpu_circom,1024,total,1645.711872,622.223
keccak_rhopi,cpu_circom,4096,compile,0.000000,
keccak_rhopi,cpu_circom,4096,jit,0.000000,
keccak_rhopi,cpu_circom,4096,kernel,0.000000,
keccak_rhopi,cpu_circom,4096,d2h,0.000000,
keccak_rhopi,cpu_circom,4096,total,6467.012352,633.368
