circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_rhopi,gpu_zkx,1,compile,11.022533,
keccak_rhopi,gpu_zkx,1,jit,48.094348,
keccak_rhopi,gpu_zkx,1,kernel,4.019040,
keccak_rhopi,gpu_zkx,1,d2h,0.000000,
keccak_rhopi,gpu_zkx,1,total,4.206769,237.712
keccak_rhopi,gpu_zkx,64,compile,13.690229,
keccak_rhopi,gpu_zkx,64,jit,51.770659,
keccak_rhopi,gpu_zkx,64,kernel,4.016287,
keccak_rhopi,gpu_zkx,64,d2h,0.000000,
keccak_rhopi,gpu_zkx,64,total,4.673245,13694.981
keccak_rhopi,gpu_zkx,1024,compile,13.391582,
keccak_rhopi,gpu_zkx,1024,jit,59.834493,
keccak_rhopi,gpu_zkx,1024,kernel,4.170080,
keccak_rhopi,gpu_zkx,1024,d2h,0.000000,
keccak_rhopi,gpu_zkx,1024,total,25.390530,40329.997
keccak_rhopi,gpu_zkx,4096,compile,13.972906,
keccak_rhopi,gpu_zkx,4096,jit,71.046975,
keccak_rhopi,gpu_zkx,4096,kernel,4.622528,
keccak_rhopi,gpu_zkx,4096,d2h,0.000000,
keccak_rhopi,gpu_zkx,4096,total,83.601417,48994.385
