circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_round20,cpu_circom,1,compile,0.000000,
keccak_round20,cpu_circom,1,jit,0.000000,
keccak_round20,cpu_circom,1,kernel,0.000000,
keccak_round20,cpu_circom,1,d2h,0.000000,
keccak_round20,cpu_circom,1,total,98.592256,10.143
keccak_round20,cpu_circom,64,compile,0.000000,
keccak_round20,cpu_circom,64,jit,0.000000,
keccak_round20,cpu_circom,64,kernel,0.000000,
keccak_round20,cpu_circom,64,d2h,0.000000,
keccak_round20,cpu_circom,64,total,586.522624,109.118
keccak_round20,cpu_circom,1024,compile,0.000000,
keccak_round20,cpu_circom,1024,jit,0.000000,
keccak_round20,cpu_circom,1024,kernel,0.000000,
keccak_round20,cpu_circom,1024,d2h,0.000000,
keccak_round20,cpu_circom,1024,total,7913.671424,129.396
keccak_round20,cpu_circom,4096,compile,0.000000,
keccak_round20,cpu_circom,4096,jit,0.000000,
keccak_round20,cpu_circom,4096,kernel,0.000000,
keccak_round20,cpu_circom,4096,d2h,0.000000,
keccak_round20,cpu_circom,4096,total,14869.489152,275.463
