circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_round20,gpu_zkx,1,compile,27.678948,
keccak_round20,gpu_zkx,1,jit,113.332982,
keccak_round20,gpu_zkx,1,kernel,22.218752,
keccak_round20,gpu_zkx,1,d2h,0.000000,
keccak_round20,gpu_zkx,1,total,22.798628,43.862
keccak_round20,gpu_zkx,64,compile,45.572936,
keccak_round20,gpu_zkx,64,jit,86.946427,
keccak_round20,gpu_zkx,64,kernel,22.486976,
keccak_round20,gpu_zkx,64,d2h,0.000000,
keccak_round20,gpu_zkx,64,total,24.231759,2641.162
keccak_round20,gpu_zkx,1024,compile,35.620632,
keccak_round20,gpu_zkx,1024,jit,106.361604,
keccak_round20,gpu_zkx,1024,kernel,22.570848,
keccak_round20,gpu_zkx,1024,d2h,0.000000,
keccak_round20,gpu_zkx,1024,total,54.958664,18632.185
keccak_round20,gpu_zkx,4096,compile,17.686794,
keccak_round20,gpu_zkx,4096,jit,63.704120,
keccak_round20,gpu_zkx,4096,kernel,21.323969,
keccak_round20,gpu_zkx,4096,d2h,0.000000,
keccak_round20,gpu_zkx,4096,total,106.488334,38464.307
