circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_squeeze,cpu_circom,1,compile,0.000000,
keccak_squeeze,cpu_circom,1,jit,0.000000,
keccak_squeeze,cpu_circom,1,kernel,0.000000,
keccak_squeeze,cpu_circom,1,d2h,0.000000,
keccak_squeeze,cpu_circom,1,total,38.936832,25.683
keccak_squeeze,cpu_circom,64,compile,0.000000,
keccak_squeeze,cpu_circom,64,jit,0.000000,
keccak_squeeze,cpu_circom,64,kernel,0.000000,
keccak_squeeze,cpu_circom,64,d2h,0.000000,
keccak_squeeze,cpu_circom,64,total,113.689856,562.935
keccak_squeeze,cpu_circom,1024,compile,0.000000,
keccak_squeeze,cpu_circom,1024,jit,0.000000,
keccak_squeeze,cpu_circom,1024,kernel,0.000000,
keccak_squeeze,cpu_circom,1024,d2h,0.000000,
keccak_squeeze,cpu_circom,1024,total,1192.735744,858.530
keccak_squeeze,cpu_circom,4096,compile,0.000000,
keccak_squeeze,cpu_circom,4096,jit,0.000000,
keccak_squeeze,cpu_circom,4096,kernel,0.000000,
keccak_squeeze,cpu_circom,4096,d2h,0.000000,
keccak_squeeze,cpu_circom,4096,total,4744.228608,863.365
