circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_theta,cpu_circom,1,compile,0.000000,
keccak_theta,cpu_circom,1,jit,0.000000,
keccak_theta,cpu_circom,1,kernel,0.000000,
keccak_theta,cpu_circom,1,d2h,0.000000,
keccak_theta,cpu_circom,1,total,40.171776,24.893
keccak_theta,cpu_circom,64,compile,0.000000,
keccak_theta,cpu_circom,64,jit,0.000000,
keccak_theta,cpu_circom,64,kernel,0.000000,
keccak_theta,cpu_circom,64,d2h,0.000000,
keccak_theta,cpu_circom,64,total,162.376960,394.145
keccak_theta,cpu_circom,1024,compile,0.000000,
keccak_theta,cpu_circom,1024,jit,0.000000,
keccak_theta,cpu_circom,1024,kernel,0.000000,
keccak_theta,cpu_circom,1024,d2h,0.000000,
keccak_theta,cpu_circom,1024,total,1906.382592,537.143
keccak_theta,cpu_circom,4096,compile,0.000000,
keccak_theta,cpu_circom,4096,jit,0.000000,
keccak_theta,cpu_circom,4096,kernel,0.000000,
keccak_theta,cpu_circom,4096,d2h,0.000000,
keccak_theta,cpu_circom,4096,total,7528.597248,544.059
