circuit,backend,N,stage,time_ms,throughput_wits_per_sec
keccak_theta,gpu_zkx,1,compile,3.947847,
keccak_theta,gpu_zkx,1,jit,41.367687,
keccak_theta,gpu_zkx,1,kernel,0.854688,
keccak_theta,gpu_zkx,1,d2h,0.000000,
keccak_theta,gpu_zkx,1,total,0.986574,1013.609
keccak_theta,gpu_zkx,64,compile,4.757664,
keccak_theta,gpu_zkx,64,jit,46.970416,
keccak_theta,gpu_zkx,64,kernel,0.896928,
keccak_theta,gpu_zkx,64,d2h,0.000000,
keccak_theta,gpu_zkx,64,total,1.643801,38934.153
keccak_theta,gpu_zkx,1024,compile,4.359889,
keccak_theta,gpu_zkx,1024,jit,48.740226,
keccak_theta,gpu_zkx,1024,kernel,1.012896,
keccak_theta,gpu_zkx,1024,d2h,0.000000,
keccak_theta,gpu_zkx,1024,total,20.858529,49092.628
keccak_theta,gpu_zkx,4096,compile,4.325434,
keccak_theta,gpu_zkx,4096,jit,55.250768,
keccak_theta,gpu_zkx,4096,kernel,1.482176,
keccak_theta,gpu_zkx,4096,d2h,0.000000,
keccak_theta,gpu_zkx,4096,total,73.786447,55511.549
keccak_theta,gpu_zkx,65536,compile,11.595502,
keccak_theta,gpu_zkx,65536,jit,371.450311,
keccak_theta,gpu_zkx,65536,kernel,10.994112,
keccak_theta,gpu_zkx,65536,d2h,0.000000,
keccak_theta,gpu_zkx,65536,total,1669.583152,39252.912
